"# of Use","# Terpakai"
"%1$s incl tax.","%1$s sudah termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Produk"
"(%d)","(%d)"
"(Copy data from: %s)","(Menyalin data dari: %s)"
"(Will make search for the query above return results for this search.)","(Akan menggunakan hasil pencarian terhadap query diatas untuk pencarian berikut.)"
"* Required Fields","* field dibutuhkan"
"-- Please Select --","-- Silahkan Pilih --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 defaultnya. Untuk refresh secara instan, Bersihkan Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Perhatian!</strong> Applying MAP by default akan menyembunyikan semua harga produk."
"A group with the same name already exists.","Kelompok dengan nama sama sudah ada."
"A name is required","Sebuah nama diperlukan"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"ALL GROUPS","SEMUA KELOMPOK"
"AM","AM"
"Action","Aksi"
"Actual Price","Harga Sebenarnya"
"Add Attribute","Tambah Atribut"
"Add Design Change","Tambah Perubahan Desain"
"Add Group","Tambah Kelompok"
"Add New","Tambah"
"Add New Attribute","Tambah Atribut Baru"
"Add New Attribute Set","Tambah Set Atribut Baru"
"Add New Group","Tambah Grup Baru"
"Add New Images","Tambah Gambar Baru"
"Add New Option","Tambah Opsi Baru"
"Add New Row","Tambah Deret baru"
"Add New Search Term","Tambah Istilah Pencarian Baru"
"Add New Set","Tambah Set Baru"
"Add Product","Tambah Produk"
"Add Product To Websites","Tambah Produk ke situs"
"Add Root Category","Tambah sumber Kategori"
"Add Subcategory","Tambah Subkategori"
"Add Tax","Tambah Pajak"
"Add Tier","Tambah Deretan"
"Add to Cart","Beli"
"Add to Compare","Bandingkan"
"Add to Wishlist","Tambah ke Daftar keinginan"
"Additional Information","Informasi Tambahan"
"Alert Urls","Tanda Urls"
"All","Semua"
"All Product Types","Semua Tipe Produk"
"All Websites","Semua Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Semua Produk Pada Set ini akan dihapus! Apakah Anda yakin ingin menghapus set atribut ini?"
"Allow All Products per Page","Ijinkan semua produk per halaman"
