" But cart has some errors."," Tapi keranjang ada beberapa error."
"""Description"" is more than %d characters long","""Deskripsi"" lebih dari %d Panjangkarakter"
"""Title"" is more than %d characters long","""Judul"" lebih dari %d Panjang karakter"
"%1$s has been added to your wishlist.","%1$s Telah di tambahkan dalam wishlist Anda."
"%1$s incl tax.","%1$s termasuk pajak."
"%s API Key required.","%s dibutuhkan API Key."
"%s Application ID required.","%s ID aplikasi dibutuhkan."
"%s Secret Key required.","%s dibutuhkan Secret Key."
"%s has been added to your cart.","%s telah ditambahkan pada keranjang Anda."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Termasuk beberapa Negara yang ada pada daftar di bawah ini. Sebagai pemilik aplikasi, Anda bertanggung jawab untuk mematuhi hukum negara tertentu terkait dengan distribusi atau penjualan aplikasi Anda ke negara itu, termasuk negara asal Anda.)"
"*Subject to change","*Subjek untuk dirubah"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Login</a> ke Urabn Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Sebuah Katalog Hanya Aplikasi tidak akan mendukung fungsi seperti tambahkan ke keranjang, menambah daftar harapan, atau login."
"A new password has been sent.","Kata sandi baru telah dikirim"
"Account","Akun"
"Account confirmation is required. Please check your email for the confirmation link.","Konfirmasi akun diperlukan. Silahkan periksa email Anda untuk tautan konfirmasi."
"Account information has been saved.","Informasi akun telah disimpan."
"Action","Aksi"
"Activate","Aktivasi"
"Activate PayPal Checkout","Aktivasi PayPal Checkout"
"Activation Key","Kunci aktivasi"
"Add App","Tambah App"
"Add New Template","Tambah Template baru"
"Add Page","Tambah halaman"
"Add to Cart","Tambah ke keranjang"
"Add to Wishlist","Tambah ke wishlist"
"Additional Address","Alamat tambahan"
"Additional Product Info","Informasi Produk Tambahan"
"Address","Alamat"
"Address 2","Alamat 2"
"Address data not specified.","Data alamat tidak ditentukan"
"Address does not belong to this customer.","Bukan data Alamat pelanggan ini"
"Address has been deleted.","Alamat telah dihapus"
"Address has been saved.","Alamat telah disimpan."
"Administrative contact for this app and for app submission issues.","kontak administrasi untuk aplikasi ini dan untuk masalah pengajuan aplikasi."
"Advanced Settings","Pengaturan lanjutan"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret."
"AirMail Message Queue","Antrian Pesan AirMail"
"AirMail Messages Queue","Antrian Pesan AirMail"
"AirMail Template Preview","Tinjauan Template AirMail"
"AirMail message","Pesan AirMail"
"AirMail templates","Template AirMail"
"All Allowed Countries","Semua Negara yang diijinkan"
"All locations","Semua lokasi"
"An account with this email address already exists.","Akun dengan alamat email ini sudah ada."
"An error occurred while adding item to wishlist.","error terjadi ketika menambahkan item ke wishlist."
"An error occurred while deleting the address.","error terjadi ketika menghapus alamat."
"An error occurred while loading category filters.","error terjadi ketika memuat filter kategori ."
"An error occurred while processing your order. Please contact us or try again later.","error terjadi ketika memproses pesanan Anda. Silakan hubungi kami atau coba lagi nanti."
"An error occurred while processing your request.","error terjadi ketika memproses permintaan Anda."
"An error occurred while removing item from wishlist.","error terjadi ketika menghapus item dari wishlist."
"An error occurred while removing items from wishlist.","error terjadi ketika menghapus item dari wishlist."
"Analytics","Analitis"
"Android","Android"
"App Background","Latar belakang Aplikasi "
"App Background (landscape mode).","Latar belakang aplikasi (Mode landskap)."
"App Background (portrait mode).","Latar belakang aplikasi (Mode potret)."
"App Background <br />(landscape mode)","Latar belakang aplikasi <br />(mode landskap)"
"App Background <br />(portrait mode)","Latar belakang aplikasi<br />(mode potret)"
"App Background image missing.","Gambar latar belakang aplikasi hilang"
"App Code","Kode aplikasi"
"App Information","Informasi aplikasi"
"App Name","Nama Aplikasi"
"App Stores","Toko aplikasi"
"App Submission History","Riwayat pengajuan aplikasi"
"App Title","Judul aplikasi"
"App code required.","Kode aplikasi dibutuhkan"
"App does not exist.","Aplikasi tidak ada"
"App has been deleted.","Aplikasi telah dihapus"
"App has been saved.","Aplikasi telah disimpan"
"App has been submitted.","Aplikasi telah diproses."
"App model not loaded.","Model aplikasi tidak dimasukan"
