"Action","Aksi"
"An error occurred while writing to the backup file ""%s"".","Eror terjadi pada saat menulis backup file ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Backup file ""%s"" tidak dapat dibaca atau ditulis ke."
"Backup file ""%s"" does not exist.","Backup file ""%s"" tidak ada."
"Backup file does not exist.","Backup file tidak ada."
"Backup file handler was unspecified.","Pegangan Backup file tidak dispesifikasikan."
"Backup file path was not specified.","Jalur Backup file tidak dispesifikasikan."
"Backups","backup"
"Cannot read backup file.","Tidak dapat membuat backup file."
"Create Backup","Buat backup"
"DB","DB"
"Database was successfuly backed up.","Database telah berhasil dibuat backup."
"Download","Unduh"
"Size, Bytes","Ukuran, Bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","File telah dikompresi dengan Zlib, tapi untuk ekstensi ini tidak diinstal pada server."
"Time","Waktu"
"Type","Tipe"
"Unable to create backup. Please, try again later.","Tidak dapat membuat backup. Tolong, coba lagi nanti."
"Wrong order of creation for new backup.","Order salah dari pembuatan untuk backup baru."
