"%s is available for purchase in increments of %s only.","%stersedia untuk pembelian dengan penambahan sebesar %s saja."
"%s is not a correct comparsion method.","Bukan metode perbandingan yang benar."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Dicatat</strong> Bahwa pengaturan ini dapat diaplikasikan ke item garis keranjang, tidak ke seluruh keranjang."
"Add Minimum Qty","Tambahkan kuantitas minimum"
"Allow Qty Below 0","Ijinkan kuantitas dibawah 0"
"Allow Qty Below 0 and Notify Customer","Ijinkan kuantitas dibawah 0 dan notifikasi pelanggan"
"Automatically Return Credit Memo Item to Stock","Otomatis Mengembalikan Barang Kredit Memo Ke Stok"
"Backorders","Backorders"
"By Fixed value","Oleh nilai tetap"
"By Percentage","Oleh Persentasi"
"Cannot specify product identifier for the order item.","Tidak bisa menentukan produk pengenal terhadap barang pesanan."
"Catalog Inventory","Inventori Katalog"
"Decrease Stock When Order is Placed","Kurangin Stok Saat Dilakukan Pembelian"
"Enable Qty Increments","Aktifkan Qty Increments"
"In Stock","Dalam Stok"
"Index Product Stock Status","Index Produk status stok"
"Inventory","Inventori"
"Inventory API","Inventori API"
"Inventory Section","Bagian Inventori"
"Manage Stock","Kelola Stok"
"Maximum Qty Allowed in Shopping Cart","Maksimum Kuantitas yang diperbolehkan dalam cart"
"Minimum Qty","Minimum Qty"
"Minimum Qty Allowed in Shopping Cart","Minimum Kuantitas yang diperbolehkan dalam cart"
"No Backorders","Tidak ada Sisa Pesanan"
"Not all products are available in the requested quantity","Tidak semua Produk tersedia pada jumlah yang diminta"
"Notify for Quantity Below","Beritahu untuk Kuantitas Dibawah"
"Only X left Threshold","Hanya X Threshold kiri"
"Out of Stock","Habis"
"Product Stock Options","Produk dari opsi stok"
"Qty Increments","Kuantitas Increments"
"Qty for Items' Status to Become Out of Stock","Kuantitas untuk Status item yang akan habis"
"Retrieve stock data","Menerima data stok"
"Retrieve stock data by product ids","Menerima stok data oleh ID produk"
"Rule price","Aturan harga"
"Set Items' Status to be In Stock When Order is Cancelled","Set status produk menjadi tersedia Ketika order dibatalkan"
"Some of the products cannot be ordered in the requested quantity.","Beberapa produk tidak dapat dipesan dalam jumlah yang diminta."
"Stock Options","Pilihan Stok"
"Stock Status","Status Stok"
"The stock item for Product in option is not valid.","Item stok untuk produk pada opsi tidak valid."
"The stock item for Product is not valid.","Item stok untuk produk tidak valid."
"This product is available for purchase in increments of %s only.","Produk ini tersedia untuk pembelian dalam increments dari hanya %s ."
"To Fixed Value","Ke Nilai Tetap"
"To Percentage","Ke Persentasi"
"Undefined product type.","Tipe produk tidak didefinisikan."
"Update","Perbarui"
"Update product stock data","Perbarui data stok produk"
"Update the Product","Perbarui produk"
