"A block identifier with the same properties already exists in the selected store.","Sebuah Blok pengenal dengan properti yang sama telah ada pada toko yang dipilih ."
"A directory with the same name already exists. Please try another folder name.","Sebuah direktori dengan nama yang sama sudah ada. Silahkan coba  nama folder yang lain."
"A page URL key for specified store already exists.","Sebuah URL halaman kunci untuk toko tertentu sudah ada."
"Action","Aksi"
"Add New Block","Tambah Blok Baru"
"Add New Page","Tambah Halaman Baru"
"All Countries","Semua Negara"
"An error occurred while saving the page.","Error terjadi ketika menyimpan Halaman."
"Anchor Custom Text","Anchor Teks khusus"
"Anchor Custom Title","Anchor Judul khusus"
"Are you sure you want to delete current folder?","Apakah Anda yakin ingin menghapus Folder ini?"
"Are you sure you want to delete the selected file?","Apakah Anda yakin ingin menghapus file yang dipilih?"
"Block","Blok"
"Block Information","Informasi Blok"
"Block Title","Judul Blok"
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS Beranda"
"CMS No Cookies Page","CMS Tidak Halaman Cookie"
"CMS No Route Page","CMS Tidak ada jalur halaman"
"CMS No-Route Page","CMS Tidak ada jalur halaman"
"CMS Page","CMS halaman"
"CMS Page Link","CMS Tautan halaman"
"CMS Page Link Block Template","CMS Halaman menghubungkan template Blok"
"CMS Page Link Inline Template","CMS Halaman menghubungkan template Sejajar"
"CMS Pages (All)","CMS Halaman (semua)"
"CMS Static Block","CMS Blok Statis"
"CMS Static Block Default Template","CMS Blok Statis template Standar"
"Cannot create new directory.","Tidak bisa membuat direktori baru."
"Cannot delete directory %s.","Tidak dapat menghapus direktori %s."
"Cannot delete root directory %s.","Tidak dapat menghapus sumber direktori %s."
"Cannot upload file.","Tidak dapat mengunggah file"
"Collapse All","Tutup semua"
"Content","Isi"
"Content Heading","Isi Judul"
"Content Management","Pengelolaan isi"
"Contents of a Static Block","Isi dari sebuah blok statis"
"Create Folder...","Membuat Folder..."
"Custom Design","Desain khusus"
"Custom Design From","Desain khusus dari"
"Custom Design To","Desain khusus ke"
"Custom Layout","Tampilan khusus"
"Custom Layout Update XML","Perbaruan tampilan khusus XML"
"Custom Theme","Tema khusus"
"Customer Tax Class Information","Informsi Kelompok pajak pelanggan"
"Date Created","Tanggal dibuat"
"Delete Block","Hapus Blok"
"Delete File","Hapus file"
"Delete Folder","Hapus Folder"
"Delete Page","Hapus Halaman"
"Description","Deskripsi"
"Design","Desain"
"Disabled","Non Aktif"
"Disabled Completely","Non Aktif keseluruhan"
"Disabled by Default","Non aktif oleh standar"
"Edit Block","Sunting Blok"
"Edit Block '%s'","sunting Blok '%s'"
"Edit Page","Sunting halaman"
"Edit Page '%s'","Sunting Halaman '%s'"
"Enable WYSIWYG Editor","Aktifkan WYSIWYG Editor"
"Enabled","Aktifkan WYSIWYG Editor"
"Enabled by Default","Aktifkan oleh standar"
"Expand All","Perluas semua"
"General Information","Informasi umum"
"Go to Home Page","Pergi ke beranda"
"Home","Beranda"
"ID","ID"
"Identifier","Pengenal"
"If empty, the Page Title will be used","Jika kosong,Judul Halaman akan digunakan"
"Images (%s)","Gambar (%s)"
"Insert File","Masukan file"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nama Folder tidak valid. Silakan, Gunakan karakter alphanumeric, Garis bawah dan garis."
"Keywords","Kata kunci"
"Last Modified","terakhir Diubah"
"Layout","Tampilan khusus"
"Layout Update XML","Perbaruan Tampilan XML"
"Link to a CMS Page","Tautan ke halaman CMS"
"Manage Pages","Kelola Halaman"
"Media Gallery","Media Galeri"
"Media Storage","Media Penyimpanan"
"Meta Data","Meta Data"
"Meta Description","Deskripsi Meta"
"Meta Keywords","Meta Kata sandi"
"New Block","Blok baru"
"New Folder Name:","Nama Folder Baru:"
"New Page","Halaman Baru"
"No files found","Tidak ada file ditemukan"
"Page Information","Informasi Halaman"
"Page Layout","Tampilan Halaman"
"Page Status","Status Halaman"
"Page Title","Judul Halaman"
"Pages","Halaman"
"Product Tax Class Information","Informsi Tingkatan Pajak Produk"
"Redirect to CMS-page if Cookies are Disabled","Mengarahkan ke halamana CMS jika cookie non aktif"
"Relative to Website Base URL","Sehubungan dengan URL Situs Web Dasar"
"Save Block","Simpan blok"
"Save Page","simpan Halaman"
"Save Process","Simpan Proses"
"Select Block...","Pilih Blok..."
"Select Page...","Pilih Halaman..."
"Show Breadcrumbs for CMS Pages","Tampilkan Breadcrumbs untuk Halaman CMS"
"Show Notice if JavaScript is Disabled","Tampilkan pemberitahuan jika JavaScript dinonaktifkan"
"Static Blocks","Blok statis"
"Status","Status"
"Storage Root","Root Penyimpanan"
"Store View","Tampilan Toko"
"Template","template"
"The block has been deleted.","Blok telah dihapus"
"The block has been saved.","Blok telah dihapus"
"The directory %s is not writable by server.","direktori %s tidak dapat ditulis oleh server."
"The page URL key cannot consist only of numbers.","Kunci URL halaman tidak bisa hanya terdiri dari angka."
"The page URL key contains capital letters or disallowed symbols.","Kunci URL halaman berisi huruf atau simbol batasan."
"The page has been deleted.","Halaman telah dihapus"
"The page has been saved.","Halaman telah disimpan"
"The static block content cannot contain  directive with its self.","Konten Blok statis tidak bisa mengandung direktif dengan sendirinya."
"This block no longer exists.","Blok ini tidak ada"
"This page no longer exists.","Halaman ini tidak ada"
"Title","Judul"
"URL Key","kunci URL"
"Unable to find a block to delete.","Tidak dapat menemukan blok untuk dihapus"
"Unable to find a page to delete.","Tidak dapat menemukan halaman untuk dihapus"
"WYSIWYG Options","pilihan WYSIWYG"
"px.","px."
