"Express Checkout and Order have been canceled.","Checkout Kilat dan Pesanan telah Dibatalkan."
"Express Checkout has been canceled.","Checkout Kilat telah dibatalkan."
"Fetch","Mengambil"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","Checkout PayPal Expres (Edisi Payflow) Membungkus Jalan Pintas"
"PayPal Express Checkout Token does not exist.","Checkout PayPal Express Token tidak ada."
"PayPal Express Order Review Form","PayPal Ekspres Tinjauan Formulir Pesanan"
"PayPal Settlement Reports","Laporan Penyelesaian PayPal"
"Payment has been declined. Please try again.","Pembayaran telah ditolak. Silakan coba lagi."
"Pending PayPal","PayPal Tertunda"
"Reports","Laporan"
"Sales","Penjualan"
"Solo","Tunggal"
"Switch/Maestro","Beralih/Maestro"
"Unable to cancel Express Checkout.","Tidak dapat membatalkan Checkout Ekspres."
"Unable to initialize Express Checkout review.","Tidak dapat menginisialisasi meninjau Checkout Ekspres."
"Unable to place the order.","Tidak dapat memesan."
"Unable to process Express Checkout approval.","Tidak dapat memproses persetujuan Ekspres Checkout."
"Unable to start Express Checkout.","Tidak dapat memulai Ekspres Checkout."
"Unable to update shipping method.","Tidak dapat memperbarui metode pengiriman."
"View","Tampilan"
"View Transaction","Tampilkan Transaksi"
"Wrong PayPal Express Checkout Token specified.","Kesalahan Checkout Expres PayPal Token ditentukan."
"You will be redirected to the PayPal website in a few seconds.","Anda akan diarahkan pada Website PayPal dalam beberapa detik."
