"-OR-","-ATAU-"
"2-pixel perimeter around the header space.","2-piksel perimeter disekitar ruang header."
"3D Secure","Keamanan 3D'"
"3D Secure Card Validation","Validasi kartu keamanan 3D"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Validasi keamanan 3D di butuhkan untuk kartu Maestro. Mendukung kartu kartu American Express di butuhkan persetujuan tambahan. Pelajari lebih lengkap di <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Mulai menerima pembayaran via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Sebuah nilai diperlukan untuk modus hidup. Merujuk pada perjanjian CardinalCommerce Anda."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Tahan selama Sengketa atau Investigasi Lainnya)"
"ACH Deposit (Reversal)","ACH Deposit (Pembalikan)"
"ACH Funding for Funds Recovery from Account Balance","Pendanaan ACH untuk Dana Pemulihan dari Saldo Rekening"
"ACH Withdrawal","Penarikan ACH"
"API Authentication Methods","Metode Otentikasi API"
"API Certificate","Sertifikat API"
"API Password","Kata sandi API"
"API Signature","Tanda tangan API"
"API Username","Nama sandi API"
"API Uses Proxy","Proxy pengguna API"
"API/Integration","API/Integrasi"
"API/Integration Settings","API/Pengaturan integrasi"
"Ability for buyer to purchase without PayPal account.","Kemampuan pembeli untuk membeli tanpa akun PayPal."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Menerima pembayaran PayPal dicart Anda. PayPal akan memproses pembayaran kartu kredit Anda melalui Gateway Payflow Pro."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Menerima pembayaran tanpa pelanggan meninggalkan situs web Anda. Banyak web-hosting  populer dan keranjag belanja datang dengan gateway pembayaran Payflow dibangun, sehingga mereka mudah untuk mengatur."
"Acceptance Mark","Tanda Penerimaan"
"Acceptance Mark Image","Gambar tanda penerimaan"
"Account-to-Account Payment, initiated by PayPal","Pembayaran akun ke akun, diprakarsai oleh PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Tambahkan tombol Ekspres Checkout untuk cart yang ada untuk pembayaran kartu kredit cepat dan mudah . PayPal menangani semua proses pembayaran."
"Additional Options","Pilihan tambahan"
"Address Verification System Response","Respon sistem verifikasi alamat"
"All the address information matched","Semua informasi alamat sesuai"
"Allow in Billing Agreement Wizard","Ijinkan panduan persetujuan pembayaran"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Allowed Credit Card Types","Ijinkan jenis kartu kredit."
"Also affects mini-shopping cart.","Juga mempengaruhi cart-mini."
"Ask Customer","Tanya pelanggan"
"Attempted Authentication, Bad Result","Percobaan Otentikasi, Hasil Buruk"
"Attempted Authentication, Good Result","Percobaan Otentikasi, Hasil Bagus"
"Auction Payment other than through eBay","Pemabayaran Lelang selain melalui eBay"
"Authenticated, Bad Result","Otentifikasi, Hasil buruk"
"Authenticated, Good Result","Otentifikasi, Hasil baik"
"Authorization","Otentifikasi"
"Authorization Honor Period (days)","Periode Otorisasi Kehormatan (hari)"
"Authorization transaction is required to void.","Otorisasi transaksi diperlukan untuk batal."
"Authorized amount of %s.","Jumlah otorisasi dari %s."
"Authorizing amount of %s is pending approval on gateway.","Jumlah otorisasi dari %s sedang menunggu persetujuan pada gateway."
"Auto","Auto"
"AutoSweep","AutoSweep"
"Available Balance","Saldo tersedia"
"Balance Manager Account Bonus","Bonus Saldo Manajer Akun"
"Billing Address","Alamat Tagihan"
"Billing Agreement Signup ","Pendaftaran Perjanjian Penagihan"
"Billing Information","Informasi tagihan"
"Bonus for first ACH Use","Bonus untuk penggunaan ACH"
"Buyer Credit Payment","Pembayaran kredit pemberi"
"Buyer\'s Tax ID","Buyer\'s Tax ID"
"Buyer\'s Tax ID Type","Buyer\'s Tax ID Type"
"By default it is ""reports.paypal.com"".","Secara default adalah ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV2 Check Result by PayPal","CVV2 Cek hasil oleh PayPal"
"Can not send new order email.","Tidak dapat mengirim email pesanan baru."
"Cannot create target file for reading reports.","Tidak dapat membuat file target untuk membaca laporan."
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel Khusus  API URL"
"Change Payment Method","Rubah metode pembayaran"
"Change Shipping Address","Rubah alamat pengriman"
"Charge-off","Biaya"
"Chargeback","Pembayaran balik"
"Chargeback by customer.","Pembayaran balik oleh pelanggan."
"Checkout with PayPal","Checkout oleh PayPal"
"Completion Date","Tanggal penyelesaian"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Menghubungkan ke PayPal SFTP server untuk mengambil laporan baru. Apakah Anda yakin ingin melanjutkan?"
"Countries Payment Applicable From","Pembayaran yang berlaku Negara-negara dari"
"Coupon Redemption","Kupon penukaran"
"Credit","Kredit"
"Credit Card Settings","Pengaturan kartu kredit"
"Currency Conversion required to cover negative balance","Konversi Mata Uang dibutuhkan untuk menutupi saldo negatif"
"Custom","Khusus"
"Custom Endpoint Hostname or IP-Address","Hostname  Endpoint khusus atau IP-Address"
"Custom Path","Jalur khusus"
"Customer complaint.","Komplain pelanggan"
"Customer did not include a confirmed address.","Pelanggan tidak mencantumkan alamat dikonfirmasi."
