"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tugas Terjadwal) - semua waktu dalam menit"
"Daily","Harian"
"Failure History Lifetime","Riwayat masa pakai gagal"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Untuk URL yang benar dihasilkan selama cron berjalan pastikan bahwa URL Basis Web> Aman dan tidak aman secara eksplisit ditetapkan."
"Generate Schedules Every","Generate Setiap jadwal"
"History Cleanup Every","Cleanup setiap Riwayat"
"Invalid callback: %s::%s does not exist","Panggilan balik tidak valid:% s:: s% tidak ada"
"Invalid model/method definition, expecting ""model/class::method"".","definisi model/metode tidak valid, mengharapkan ""model / kelas:: metode""."
"Missed if Not Run Within","Lewati jika tidak dijalankan didalamnya"
"Monthly","Bulanan"
"No callbacks found","Tidak ada panggilan balik ditemukan"
"Schedule Ahead for","Jadwal kedepan untuk"
"Success History Lifetime","Riwayat masa pakai berhasil"
"Too late for the schedule.","Terlambat untuk jadwal."
"Unable to save the cron expression.","tidak dapat menyimpan cron expression."
"Unknown error.","error tidak diketahui."
"Weekly","Mingguan"
