"""Remember Me"" Default Value","""Ingatkan Saya"" Nilai Standar"
"(Not %s?)","(Not %s?)"
"* Required Fields","* Field dibutuhkam"
"Address","Alamat"
"Address Information","Informasi alamat"
"Already registered?","Sudah terdaftar?"
"Back","Kembali"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Dengan membuat akun toko kami, anda akan mampu bergerak melalui proses checkout cepat, menyimpan alamat pengiriman, melihat dan melacak pesanan Anda di account Anda dan lebih."
"Cannot load configuration from file %s.","Tidak dapat memuat konfigurasi dari file %s."
"Checkout as Guest","Checkout sebagai tamu"
"Checkout as a Guest or Register","Checkout sebagai tamu atau terdaftar"
"City","kota"
"Clear Persistence on Log Out","Bersihkan Persistence pada Log Out"
"Close","Tutup"
"Company","Perusahaan"
"Confirm Password","Konfirmasi Kata sandi"
"Continue","Lanjutkan"
"Country","Negara"
"Create an Account","Buat sebuah akun"
"Easy access to your order history and status","Akses mudah pada riwayat order Anda dan status"
"Email Address","Alamat Email"
"Enable ""Ingatkan saya""","Aktifkan ""Ingatkan saya"""
"Enable Persistence","Aktifkan Persistence"
"Fast and easy check out","checkout cepat dan mudah"
"Fax","Fax"
"Forgot Your Password?","Lupa kata sandi Anda?"
"Forgot your password?","Lupa Kata sandi Anda?"
"General Options","Opsi umum"
"If you have an account with us, please log in.","Jika Anda memiliki akun kami, silakan masuk."
"Loading next step...","Memuat Langkah selanjutnya..."
"Login","Login"
"Login Information","Informasi Login"
"Login or Create an Account","Login atau buat sebuah akun"
"New Customers","Pelanggan Baru"
"Password","Kata Sandi"
"Persist Shopping Cart","Cart belanja Tetap"
"Persistence Lifetime (seconds)","Masa Pakai Persistence (Detik)"
"Persistent Shopping Cart","Cart belanja Persistent"
"Personal Information","Informasi Personal"
"Please log in below:","Silakan log in dibawah:"
"Please select region, state or province","Silakan pilih region, Negara Bagian atau Provinsi"
"Register","Daftar"
"Register and save time!","Daftar dan simpan waktu!"
"Register to Create an Account","Daftar untuk membuat sebuah akun"
"Register with us for future convenience:","Daftar dengan kami untuk kenyamanan dimasa datang:"
"Registered Customers","Pelanggan terdaftar"
"Remember Me","Ingatkan saya"
"Save in address book","Simpan dalam buku alamat"
"Select State/Province...","Pilih Negara Bagian/Provinsi..."
"Select a billing address from your address book or enter a new address.","Pilih alamat penagihan dari buku alamat Anda atau masukan alamat baru."
"Ship to different address","Kirim ke alamat berbeda"
"Ship to this address","Kirim ke alamat ini"
"Sign Up for Newsletter","Daftar untuk buletin"
"State/Province","Negara Bagian/Provinsi"
"Street Address","Alamat Jalan"
"Street Address %s","Alamat Jalan %s"
"Submit","Mengajukan"
"Telephone","Telepon"
"Welcome, %s!","Selamat Datang, %s!"
"What\'s this?","Apa ini?"
"Zip/Postal Code","Zip/Kode Post"
